pl_radius,pl_mass,star_temp,star_radius,pl_mass_log,pl_radius_log
4.02422162,15.3,5528.92,0.916633,2.791165107812717,1.6142705404541269
1.9,4.27,5438.0,0.83,1.6620303625532709,1.0647107369924282
2.94,8.96,4350.0,0.66,2.298577071596507,1.3711807233098425
1.212,2.1,5271.0,0.86,1.1314021114911006,0.7938970836600884
0.99679734,0.961,5343.0,2.506,0.6734545472142092,0.6915445670606739
2.16,5.3,3286.0,0.274,1.840549633397487,1.1505720275988207
1.201,1.68,5058.0,0.7475,0.9858167945227653,0.7889118025443247
2.75971163,8.05,5585.0,0.972,2.2027647577118348,1.3243422603117203
2.36507598,9.7,5815.0,1.131,2.3702437414678603,1.2134505423365776
3.4,15.4,5373.0,0.905,2.797281334830153,1.4816045409242156
13.6,432.24663352,5004.0,0.813064,6.071307158271239,2.681021528714291
9.86392,174.8065,5900.0,1.17,5.169383958401464,2.385447207018977
13.9,255.53403923,4672.0,6.84,5.547261362355797,2.7013612129514133
2.76022913,8.05,6572.0,1.238,2.2027647577118348,1.3244798943748952
13.5,483.1016,4830.0,6.3,6.182294802042438,2.6741486494265287
12.6,2597.92939882,6024.0,0.97,7.862854869524542,2.6100697927420065
13.9,251.0,6150.0,1.105,5.529429087511423,2.7013612129514133
1.38,2.48,4877.0,0.77,1.247032293786383,0.8671004876833832
2.1,5.06,5048.0,0.77,1.801709800081223,1.1314021114911006
1.99,3.55,5539.0,1.11,1.515127232962859,1.095273387402595
4.07,15.57359194,5610.0,0.95,2.8078105816338375,1.623340817603092
14.2,171.6282,6174.0,1.15,5.151140148849461,2.7212954278522306
12.5428494,148.42586607,5438.0,0.79,5.00680039071159,2.6058586884755415
18.14733975,632.47852993,8000.0,2.36,6.451226107995082,2.952163789527785
0.88,0.615,5788.0,0.722,0.4793349566746199,0.6312717768418579
16.47720163,278.09985612,5730.0,1.459,5.631569625027991,2.860897267594713
13.8,308.29355479,4886.0,11.21,5.734290841420239,2.6946271807700692
1.99,4.62,5205.0,0.783742,1.7263316639055997,1.095273387402595
12.9,111.0,5255.914132507477,1.0014813828677545,4.718498871295094,2.631888840136646
2.43722231,6.51,4545.43,0.713599,2.0162354657760435,1.2346636771841495
1.41,2.57,5550.0,0.954,1.2725655957915476,0.8796267475025636
15.69257298,451.31633794,6280.0,1.7,6.114381797741654,2.8149638887636934
